url_path,views_total,views_unique
/LukasBraun2/color-bot-windows,50,7
/LukasBraun2/color-bot-windows/graphs/traffic,38,1
/LukasBraun2/color-bot-windows/pulse,36,1
/LukasBraun2/color-bot-windows/blob/github-repo-stats/LukasBraun2/color-bot-windows/latest-report/report.pdf,23,1
/LukasBraun2/color-bot-windows/tree/github-repo-stats,6,1
/LukasBraun2/color-bot-windows/blob/main/ConquestLauncher.jar,5,4
/LukasBraun2/color-bot-windows/blob/github-repo-stats/LukasBraun2/color-bot-windows/latest-report/report.html,3,1
/LukasBraun2/color-bot-windows/tree/github-repo-stats/LukasBraun2/color-bot-windows/latest-report,3,1
/LukasBraun2/color-bot-windows/blob/github-repo-stats/LukasBraun2/color-bot-windows/latest-report/report.md,2,1
/LukasBraun2/color-bot-windows/blob/main/README.md,2,1
